"","Estimate","Std_Error","t_value","p_value"
"(Intercept)",-54.261738448454,22.5456495483851,-2.40674984022985,0.0161773151121995
"quality_of_education",1.57726194592686,0.0465120742164149,33.9108064410987,4.68221503508261e-203
"factor(year)2013",1.04099288430819,31.5836290734228,0.0329598882347617,0.973709571492473
"factor(year)2014",93.9425792786859,25.6687520352498,3.65980313922853,0.000258365001598905
"factor(year)2015",81.8370938436971,25.8168302108997,3.16991254058548,0.0015458628530318
